"CognatesEN","CognatesFR"
"absolutely","absolument"
"abundance","abondance"
"abuse","abuser"
"accelerate (to)","accélérer"
"accentuate (to)","accentuer"
"accident","accident"
"accompany (to)","accompagner"
"accuse (to)","accuser"
"acrobatic","acrobatique"
"active","active"
"activities","activités"
"activity","activité"
"actor","acteur"
"actuary","actuaire"
"admirable","admirable"
"admire (to)","admirer"
"admire (to)","admirer"
"admit (to)","admettre"
"adopt (to)","adopter"
"adoption","adoption"
"adore","adorer"
"adult","adulte"
"adventure","aventure"
"African","africain"
"African","africaine"
"agency","agence"
"agent","agent"
"aggregate","agrégat"
"agile","agile"
"agony","agonie"
"air","air"
"alarm","alarme"
"allergic","allergique"
"ambitious","ambitieuse"
"ambitious","ambitieux"
"anaconda","anaconda"
"analyze (to)","analyser"
"animal","animal"
"announce (to)","annoncer"
"appear (to)","apparaître"
"appetite","appétit"
"arbitrary","arbitraire"
"area","aire"
"arithmetic","arithmétique"
"arrogance","arrogance"
"artist","artiste"
"artistic","artistique"
"associate (to)","associer"
"association","association"
"astronomer","astronome"
"atmosphere","atmosphère"
"attention","attention"
"August","août"
"authorize (to)","autoriser"
"autograph","autographe"
"automatic","automatique"
"automobile","automobile"
"banana","banane"
"banjo","banjo"
"battery","batterie"
"bicycle","bicyclette"
"biography","biographie"
"blouse","blouse"
"brilliant","brilliante"
"brilliant","brilliant"
"brutal","brutal"
"cabin","cabine"
"cable","cable"
"cafeteria","cafétéria"
"camera","caméra"
"camouflage","camouflage"
"candid","candide"
"canyon","canyon"
"captain","capitaine"
"capture (to)","capturer"
"catastrophe","catastrophe"
"cause","cause"
"celebrate (to)","célébrer"
"cement","ciment"
"center","centre"
"ceramic","céramique"
"cereal","céréale"
"ceremony","cérémonie"
"chimney","cheminée"
"chimpanzee","chimpanzé"
"cholera","choléra"
"circle","cercle"
"circular","circulaire"
"civilize","civiliser"
"class","classe"
"classify (to)","classifier"
"coast","côte"
"colony","colonie"
"color","couleur"
"combination","combinaison"
"comment","commentaire"
"committee","comité"
"common","commun"
"company","compagnie"
"compare (to)","comparer"
"complete (to)","compléter"
"comport","comporter"
"concert","concert"
"condition","condition"
"confetti","confetti"
"confusing","confus"
"confusion","confusion"
"constellation","constellation"
"construction","construction"
"consult","consulter"
"contagious","contagieux"
"contagious","contagieuse"
"continent","continent"
"continue (to)","continuer"
"contract","contracter"
"contribution","contribution"
"convenient","convénient"
"converse (to)","converser"
"convert (to)","convertir"
"correctly","correctement"
"coyote","coyote"
"criminal","criminel"
"crocodile","crocodile"
"curiosity","curiosité"
"curious","curieux"
"curious","curieuse"
"December","décembre"
"decide (to)","décider"
"decisive","décisive"
"declare (to)","déclarer"
"decoration","décoration"
"delicate","délicate"
"delicate","délicat"
"delicious","délicieuse"
"delicious","délicieux"
"demonstrate(to)","démontrer"
"depend (to)","dépendre"
"deport (to)","déporter"
"describe (to)","décrire"
"desert","déserter"
"despotism","despotisme"
"destroy (to)","détruire"
"detain (to)","détenir"
"determine (to)","déterminer"
"diamond","diamant"
"dictator","dictateur"
"dictionary","dictionnaire"
"different","différent"
"different","différente"
"difficultly","difficulté"
"dinosaur","dinosaure"
"direction","direction"
"directly","directement"
"director","directeur"
"disappear (to)","disparaître"
"disaster","désastre"
"discrimination","discrimination"
"discuss (to)","discuter"
"disgrace","disgrâce"
"distance","distance"
"distribute (to)","distribuer"
"doctor","docteur"
"dollar","dollar"
"double","double"
"dragon","dragon"
"dynamite","dynamite"
"effective","effective"
"egoist","égoïste"
"electric","électrique"
"electricity","électricité"
"elephant","éléphant"
"energy","énergie"
"enormous","énorme"
"enter (to)","entrer"
"escape (to)","échapper"
"especially","spécialement"
"estimate (to)","estimer"
"evidently","évidemment"
"exactly","exactement"
"exaggerate","exagérer"
"exalt","exalter"
"examine (to)","examiner"
"exclaim","exclamer"
"excuse","excuser"
"exemption","exemption"
"exotic","exotique"
"experience","expérience"
"explosion","explosion"
"export (to)","exporter"
"extra","extra"
"extraordinary","extraordinaire"
"family","famille"
"famous","fameux"
"famous","fameuse"
"fantastic","fantastique"
"fascinate (to)","fasciner"
"favorable","favorable"
"favorite","favori"
"favorite","favorite"
"ferment (to)","fermenter"
"ferocious","féroce"
"festive","festive"
"finally","finalement"
"firm","firme"
"flexible","flexible"
"flower","fleur"
"fragile","fragile"
"fruit","fruit"
"funeral","funérailles"
"furious","furieux"
"furious","furieuse"
"galaxy","galaxie"
"gallon","gallon"
"garden","jardin"
"gas","gaz"
"general","générale"
"general","général"
"generous","généreux"
"generous","généreuse"
"giraffe","girafe"
"glorious","glorieux"
"glorious","glorieuse"
"golf","golf"
"gorilla","gorille"
"gracious","gracieux"
"gracious","gracieuse"
"gratify (to)","gratifier"
"group","groupe"
"guide","guide"
"helicopter","hélicoptère"
"hippopotamus","hippopotame"
"history","histoire"
"honor","honneur"
"hospital","hôpital"
"hotel","hôtel"
"hour","heure"
"human","humaine"
"human","humain"
"idea","Idée"
"idealism","idéalisme"
"identification","identification"
"identity (to)","identifier"
"ignorant","ignorante"
"ignorant","ignorant"
"ignore (to)","ignorer"
"imaginary","imaginaire"
"imagine (to)","imaginer"
"immediately","immédiatement"
"immigrant","immigrant"
"implore (to)","implorer"
"import (to)","importer"
"important","important"
"important","importante"
"impossible","impossible"
"impression","impression"
"incredible","incrédible"
"incurable","incurable"
"independence","indépendance"
"indicative","indicative"
"information","information"
"insect","insecte"
"inseparable","inséparable"
"insert (to)","insérer"
"insist (to)","insister"
"inspection","inspection"
"instruction","instruction"
"insult (to)","insulter"
"intelligence","intelligence"
"interesting","intéressante"
"interesting","intéressant"
"interrupt (to)","interrompre"
"introduction","introduction"
"introduce (to)","introduire"
"invent (to)","inventer"
"investigate (to)","investiguer"
"invitation","invitation"
"invite (to)","inviter"
"island","île"
"justify (to)","justifier"
"juvenile","juvénile"
"lament (to)","lamenter"
"leader","leader"
"lemon","limon"
"lens","lentille"
"leopard","léopard"
"lesson","leçon"
"line","ligne"
"lion","lion"
"list","liste"
"local","local"
"local","locale"
"locate (to)","localiser"
"lucid","lucide"
"machine","machine"
"magic","magique"
"magician","magicien"
"magnetic","magnétique"
"magnificent","magnifique"
"manner","manière"
"manual","manuelle"
"manual","manuel"
"March","mars"
"march (to)","marcher"
"marionette","marionnette"
"mechanism","mécanisme"
"medal","médaille"
"memory","mémoire"
"metal","métal"
"microscope","microscope"
"million","million"
"miniature","miniature"
"minute","minute"
"minutes","minutes"
"mobile","mobile"
"modify (to)","modifier"
"moment","moment"
"monument","monument"
"moral","moral"
"moral","morale"
"music","music"
"natural","naturelle"
"natural","naturel"
"naturally","naturellement"
"necessity","nécessité"
"nectar","néctar"
"negotiate (to)","négocier"
"nervous","nerveuse"
"nervous","nerveux"
"normally","normalement"
"notable","notable"
"notice","notice"
"notify (to)","notifier"
"obedience","obédience"
"object","objet"
"observatory","observatoire"
"occasion","occasion"
"ocean","océan"
"October","octobre"
"office","office"
"operate (to)","opèrer"
"operation","opération"
"optimism","optimisme"
"ordinary","ordinaire"
"organism","organisme"
"organize (to)","organiser"
"obedience","obédience"
"object","objet"
"observatory","observatoire"
"occasion","occasion"
"ocean","océan"
"October","octobre"
"office","office"
"operate (to)","opèrer"
"operation","opération"
"optimism","optimisme"
"ordinary","ordinaire"
"organism","organisme"
"organize (to)","organiser"
"pacify (to)","pacifier"
"palace","palais"
"panic","panique"
"paper","papier"
"paralyze (to)","paraliser"
"park","parc"
"part","part"
"participate (to)","participer"
"patience","patience"
"penguin","pingouin"
"perfect","parfait"
"perfume","parfum"
"permanent","permanente"
"permanent","permanent"
"photograph","photographie"
"photographer","photographe"
"piano","piano"
"pioneer","pionnier"
"pirate","pirate"
"planet","planète"
"planetarium","planétarium"
"plan","plan"
"plant","plante"
"plate","plat"
"police","police"
"practice","pratique"
"practice (to)","pratiquer"
"prepare (to)","préparer"
"present (to)","présenter"
"problem","problème"
"professional","professionnel"
"professional","professionnelle"
"prudent","prudent"
"prudent","prudente"
"radio","radio"
"really","réalité"
"remedy","remède"
"represent (to)","représenter"
"restaurant","restaurant"
"retire (to)","retirer"
"retire (to)","se retirer"
"reunion","réunion"
"rich","riche"
"rock","roche"
"route","route"
"salary","salaire"
"secret","secret"
"September","septembre"
"series","série"
"simplify (to)","simplifier"
"socialist","socialiste"
"sofa","sofa"
"solid","solide"
"solidify","solidifier"
"special","spéciale"
"special","spécial"
"splendid","splendide"
"statistics","statistique"
"stomach","estomac"
"study (to)","étudier"
"stupid","stupide"
"support","support"
"surprise","surprise"
"telephone","téléphone"
"telescope","télescope"
"television","télévision"
"terminate (to)","terminer"
"terrible","terrible"
"testimony","témoignage"
"tomato","tomate"
"totally","totalement"
"tourist","touriste"
"traffic","trafic"
"trap (to)","attraper"
"triple","triple"
"triumphant","triumphante"
"triumphant","triumphant"
"trumpet","trompette"
"tube","tube"
"uniform","uniforme"
"unify (to)","unifier"
"university","université"
"urgency","urgence"
"usual","usuel"
"usual","usuelle"
"utilize (to)","utiliser"
"vegetables","végétales"
"venomous","venimeux"
"verify (to)","vérifier"
"version","version"
"visit (to)","visiter"
"volleyball","volley-ball"
"vote (to)","voter"
